carId	LONG	LAT	time1	time2	speed	dir
‘¡B6646E	113.925964	22.555117	2011/7/4	19:18:53	73 	90 
‘¡B90W35	113.918236	22.552607	2011/7/4	19:18:52	0 	0 
‘¡B66867	113.939621	22.554970	2011/7/4	19:18:55	20 	90 
‘¡BYV715	113.981216	22.561068	2011/7/4	19:18:54	59 	90 
‘¡B214R5	113.979111	22.561993	2011/7/4	19:18:56	0 	270 
‘¡BQG562	113.922997	22.553200	2011/7/4	19:18:39	12 	135 
‘¡B50597	113.971313	22.561016	2011/7/4	19:18:50	0 	0 
‘¡B62E33	113.929085	22.559784	2011/7/4	19:18:54	51 	180 
‘¡B80065	113.970718	22.559120	2011/7/4	19:18:56	0 	225 
‘¡B66098	113.972015	22.559267	2011/7/4	19:18:50	90 	45 
‘¡B89B23	113.952866	22.557783	2011/7/4	19:18:54	65 	315 
‘¡BQG562	113.922966	22.552816	2011/7/4	19:18:45	24 	135 
‘¡B54X62	113.908234	22.551033	2011/7/4	19:18:56	17 	315 
‘¡B39A57	113.959129	22.556101	2011/7/4	19:18:57	51 	90 
‘¡BZ1655	113.914551	22.556000	2011/7/4	19:18:58	0 	0 
‘¡B66391	113.914619	22.556000	2011/7/4	19:18:58	0 	90 
‘¡B34G31	113.966873	22.561607	2011/7/4	19:18:58	0 	0 
‘¡BF8588	113.994637	22.556770	2011/7/4	19:19:0	61 	270 
‘¡B747U2	113.949783	22.555983	2011/7/4	19:18:54	16 	45 
‘¡B83E85	113.968185	22.557533	2011/7/4	19:22:4	9 	90 
‘¡B52X28	113.961746	22.556067	2011/7/4	19:22:3	29 	315 
‘¡B45E47	113.963699	22.557083	2011/7/4	19:22:3	72 	225 
‘¡BB3140	113.929695	22.558193	2011/7/4	19:22:0	0 	315 
‘¡B49X88	113.930565	22.555367	2011/7/4	19:22:2	62 	225 
‘¡B053Y8	113.973053	22.556583	2011/7/4	19:22:3	14 	90 
‘¡BB3173	113.930550	22.559759	2011/7/4	19:22:10	0 	0 
‘¡B992R3	113.965767	22.559616	2011/7/4	19:22:4	38 	225 
‘¡B57K22	113.908134	22.552616	2011/7/4	19:22:4	0 	45 
‘¡B62E33	113.946747	22.555401	2011/7/4	19:22:4	13 	45 
‘¡B78F92	113.918297	22.552683	2011/7/4	19:22:4	0 	135 
‘¡BF8511	113.952965	22.560513	2011/7/4	19:22:7	40 	0 
‘¡B37G83	113.962059	22.557827	2011/7/4	19:22:6	28 	0 
‘¡B453S2	113.922935	22.552317	2011/7/4	19:22:5	25 	135 
‘¡B05F59	113.961899	22.558167	2011/7/4	19:22:5	64 	180 
‘¡BY1962	113.914467	22.555830	2011/7/4	19:22:6	0 	315 
‘¡B40P08	113.991516	22.557867	2011/7/4	19:22:6	88 	90 
‘¡BE6933	113.914268	22.554430	2011/7/4	19:22:7	52 	45 
‘¡B26V38	113.908768	22.550100	2011/7/4	19:22:5	61 	315 
‘¡B98298	113.931778	22.558720	2011/7/4	19:22:6	26 	315 
‘¡B793F0	113.909317	22.548283	2011/7/4	19:22:5	32 	135 
‘¡BBL632	113.971031	22.558750	2011/7/4	19:22:6	0 	180 
‘¡B694G2	113.973198	22.556549	2011/7/4	19:22:6	17 	90 
‘¡B37G83	113.962105	22.557974	2011/7/4	19:22:8	32 	0 
